address,domains,first_seen,hostname,ip_version,known,last_seen,name,online,risk_score
54.145.126.85,ec2-54-145-126-85.compute-1.amazonaws.com,2022-07-25T00:00:01.099206Z,ec2-54-145-126-85.compute-1.amazonaws.com,4,False,2022-07-25T00:00:01.099206Z,ec2-54-145-126-85.compute-1.amazonaws.com,True,6.528396926533134
34.202.227.128,"ec2-34-202-227-128.compute-1.amazonaws.com,prod.scout.arctonyx.com",2022-08-02T00:00:00.706693Z,ec2-34-202-227-128.compute-1.amazonaws.com,4,False,2022-08-02T00:00:00.706693Z,ec2-34-202-227-128.compute-1.amazonaws.com,True,1.6320992316332834
52.204.52.42,"ec2-52-204-52-42.compute-1.amazonaws.com,prod.scout.arctonyx.com",2022-08-02T00:00:00.706693Z,ec2-52-204-52-42.compute-1.amazonaws.com,4,False,2022-08-02T00:00:00.706693Z,ec2-52-204-52-42.compute-1.amazonaws.com,True,1.6320992316332834
13.32.208.123,server-13-32-208-123.iad66.r.cloudfront.net,2022-08-10T00:00:00.413055Z,server-13-32-208-123.iad66.r.cloudfront.net,4,False,2022-08-10T00:00:00.413055Z,server-13-32-208-123.iad66.r.cloudfront.net,True,9.792595389799699
52.204.115.9,ec2-52-204-115-9.compute-1.amazonaws.com,2022-08-13T00:00:00.180099Z,ec2-52-204-115-9.compute-1.amazonaws.com,4,False,2022-08-13T00:00:00.180099Z,ec2-52-204-115-9.compute-1.amazonaws.com,True,16.320992316332834
108.138.85.113,"server-108-138-85-113.iad12.r.cloudfront.net,documentation.catosec.io",2022-10-15T00:00:00.364146Z,server-108-138-85-113.iad12.r.cloudfront.net,4,False,2022-10-15T00:00:00.364146Z,documentation.catosec.io,True,9.792595389799699
99.84.208.56,"documentation.catosec.io,server-99-84-208-56.iad79.r.cloudfront.net",2022-10-25T00:00:00.907068Z,server-99-84-208-56.iad79.r.cloudfront.net,4,False,2022-10-25T00:00:00.907068Z,documentation.catosec.io,True,6.528396926533134
52.40.39.192,"ec2-52-40-39-192.us-west-2.compute.amazonaws.com,pg.arctonyx.net",2022-09-28T00:00:00.410818Z,ec2-52-40-39-192.us-west-2.compute.amazonaws.com,4,False,2022-10-27T00:00:00.953342Z,pg.arctonyx.net,True,0.1
54.196.168.214,ec2-54-196-168-214.compute-1.amazonaws.com,2022-08-20T00:00:00.394179Z,ec2-54-196-168-214.compute-1.amazonaws.com,4,False,2022-08-20T00:00:00.394179Z,ec2-54-196-168-214.compute-1.amazonaws.com,True,16.320992316332834
34.204.162.123,ec2-34-204-162-123.compute-1.amazonaws.com,2022-08-23T00:00:00.347797Z,ec2-34-204-162-123.compute-1.amazonaws.com,4,False,2022-08-23T00:00:00.347797Z,ec2-34-204-162-123.compute-1.amazonaws.com,True,16.320992316332834
35.170.23.107,ec2-35-170-23-107.compute-1.amazonaws.com,2022-08-25T00:00:00.405489Z,ec2-35-170-23-107.compute-1.amazonaws.com,4,False,2022-08-25T00:00:00.405489Z,ec2-35-170-23-107.compute-1.amazonaws.com,True,16.320992316332834
