first_seen,ip,last_seen,name,port_number,priority,remediation_action,remediation_id,status
2022-08-08T13:56:22.582648Z,45.33.49.119,2022-08-08T13:56:22.583633Z,nmap.org,80,MEDIUM,CVE-2020-1934 may impact this asset. Update the impacted software if possible or apply available countermeasures. See https://nvd.nist.gov/vuln/detail/CVE-2020-1934 for details.,CVE-2020-1934,NEWLY_DISCOVERED
2022-08-08T13:56:22.579431Z,45.33.49.119,2022-08-08T13:56:22.580458Z,nmap.org,80,HIGH,CVE-2021-32785 may impact this asset. Update the impacted software if possible or apply available countermeasures. See https://nvd.nist.gov/vuln/detail/CVE-2021-32785 for details.,CVE-2021-32785,NEWLY_DISCOVERED
2022-08-08T13:56:22.576005Z,45.33.49.119,2022-08-08T13:56:22.577025Z,nmap.org,80,MEDIUM,CVE-2021-32786 may impact this asset. Update the impacted software if possible or apply available countermeasures. See https://nvd.nist.gov/vuln/detail/CVE-2021-32786 for details.,CVE-2021-32786,NEWLY_DISCOVERED
2022-08-08T13:56:22.572949Z,45.33.49.119,2022-08-08T13:56:22.573873Z,nmap.org,80,MEDIUM,CVE-2021-32791 may impact this asset. Update the impacted software if possible or apply available countermeasures. See https://nvd.nist.gov/vuln/detail/CVE-2021-32791 for details.,CVE-2021-32791,NEWLY_DISCOVERED
2022-08-08T13:56:22.569511Z,45.33.49.119,2022-08-08T13:56:22.570516Z,nmap.org,80,MEDIUM,CVE-2021-32792 may impact this asset. Update the impacted software if possible or apply available countermeasures. See https://nvd.nist.gov/vuln/detail/CVE-2021-32792 for details.,CVE-2021-32792,NEWLY_DISCOVERED
2022-08-08T13:56:22.566355Z,45.33.49.119,2022-08-08T13:56:22.567264Z,nmap.org,80,CRITICAL,CVE-2021-44790 may impact this asset. Update the impacted software if possible or apply available countermeasures. See https://nvd.nist.gov/vuln/detail/CVE-2021-44790 for details.,CVE-2021-44790,NEWLY_DISCOVERED
2022-08-08T13:56:22.563159Z,45.33.49.119,2022-08-08T13:56:22.564194Z,nmap.org,80,HIGH,CVE-2022-22719 may impact this asset. Update the impacted software if possible or apply available countermeasures. See https://nvd.nist.gov/vuln/detail/CVE-2022-22719 for details.,CVE-2022-22719,NEWLY_DISCOVERED
2022-08-08T13:56:22.559448Z,45.33.49.119,2022-08-08T13:56:22.560405Z,nmap.org,80,HIGH,CVE-2021-34798 may impact this asset. Update the impacted software if possible or apply available countermeasures. See https://nvd.nist.gov/vuln/detail/CVE-2021-34798 for details.,CVE-2021-34798,NEWLY_DISCOVERED
2022-08-08T13:56:22.556245Z,45.33.49.119,2022-08-08T13:56:22.557252Z,nmap.org,80,CRITICAL,CVE-2021-39275 may impact this asset. Update the impacted software if possible or apply available countermeasures. See https://nvd.nist.gov/vuln/detail/CVE-2021-39275 for details.,CVE-2021-39275,NEWLY_DISCOVERED
2022-08-08T13:56:22.552722Z,45.33.49.119,2022-08-08T13:56:22.553871Z,nmap.org,80,CRITICAL,CVE-2021-40438 may impact this asset. Update the impacted software if possible or apply available countermeasures. See https://nvd.nist.gov/vuln/detail/CVE-2021-40438 for details.,CVE-2021-40438,NEWLY_DISCOVERED
